CLUSTER PERFORMANCE ANALYSIS REPORT
==================================================
Generated: 2025-08-08 12:56:10
Analysis Period: 7 days

PERFORMANCE SUMMARY
--------------------
Clusters analyzed: 8897
Average CPU utilization: 19.28%
Average memory utilization: 48.77%

DETAILED METRICS
--------------------
          cluster_id  driver  data_points  avg_cpu_utilization  peak_cpu_utilization  avg_cpu_wait  avg_memory_utilization  peak_memory_utilization  avg_network_mb_received_per_minute  avg_network_mb_sent_per_minute
0806-092001-pxk8ymtu   False            5                58.31                 58.31          0.08                   73.85                    73.85                                2.99                            0.55
0801-030840-m7otzzma   False            5                58.24                 90.67          0.99                   71.65                    73.10                               34.83                            0.99
0804-113452-1137tbte   False            5                58.03                 93.75          0.16                   75.32                    76.58                               65.69                           33.52
0804-130249-rsu02fpu   False            5                57.98                 91.95          0.16                   75.27                    76.72                               49.31                            0.84
0806-010024-txnrko2a   False            5                57.95                 57.95          0.58                   66.85                    66.85                               30.12                            1.16
0806-085615-txln12xe   False            5                57.88                 57.88          0.27                   68.46                    68.46                                3.58                            0.72
0802-042526-nhrfru36   False            5                57.88                 98.29          0.25                   54.67                    67.73                                1.59                            0.54
0806-014408-jnr4lxsi   False            5                57.81                 57.81          0.07                   68.92                    68.92                                5.74                            0.63
0806-184120-gd37qccy   False            5                57.67                 95.87          1.47                   67.67                    68.27                                1.83                            0.54
0801-141847-nuum4nwy   False            5                57.67                 72.55          1.21                   55.36                    71.51                               53.32                           49.57
0807-193926-986hr576   False            5                57.53                 95.84          2.19                   51.22                    62.68                                1.94                            0.61
0804-082500-2agykxqq   False            5                57.45                 68.14          0.25                   53.79                    68.09                               52.12                           48.15
0804-034009-xssrbytu   False            5                57.38                 98.33          0.46                   55.59                    68.56                                4.57                            0.80
0802-230053-ku1oho2a   False            5                57.36                 70.79          0.29                   56.37                    71.35                               58.12                           30.63
0806-003723-8mrw7fv6   False            5                57.29                 57.29          0.11                   73.99                    73.99                               67.49                           58.78
0804-093424-a0q5glcy   False            5                57.21                 95.05          0.18                   76.37                    77.80                               35.69                            1.12
0801-205650-8rdimcr6   False           20                57.17                 99.82          0.04                   26.84                    38.42                                1.03                            2.33
0801-003036-s8nzb382   False            5                56.99                 96.53          1.44                   51.84                    63.33                                1.86                            0.80
0806-090506-ic005c0i   False            5                56.98                 56.98          0.08                   70.45                    70.45                                4.72                            0.69
0803-005124-e4xct8gi   False            5                56.84                 65.84          0.22                   52.77                    68.69                               51.28                           48.45
0806-170436-sonwapke   False            5                56.81                 93.34          1.00                   72.14                    73.07                               35.30                            0.94
0804-074514-ogls9ogi   False            5                56.69                 96.66          1.33                   49.92                    61.62                                2.30                            0.66
0807-083819-jtocbpxu   False            5                56.68                 95.63          2.18                   48.82                    59.61                                1.16                            0.57
0801-015415-wvp808pe   False            5                56.64                 98.04          1.27                   66.35                    67.15                                3.55                            0.74
0802-043631-lye9rxn6   False            5                56.64                 59.81          0.25                   53.54                    68.01                               56.08                           51.95
0807-172720-25y3e49e   False            5                56.58                 94.90          1.94                   53.10                    64.45                                1.82                            0.47
0802-022311-7axth5oy   False            5                56.53                 94.99          1.36                   69.78                    70.23                                3.04                            0.72
0806-025023-vv4wdiqa   False            5                56.51                 56.51          0.32                   71.64                    71.64                                1.98                            0.58
0806-021713-hgpxsaaa   False            5                56.50                 56.50          0.08                   69.87                    69.87                                3.47                            0.58
0803-065941-h1mg4yly   False            5                56.49                 95.38          0.55                   53.49                    66.49                                2.73                            0.73
0803-001433-rwwtoy6q   False            5                56.38                 94.02          1.05                   67.28                    67.88                                5.03                            1.05
0802-195002-yc0d3u36   False            5                56.38                 96.90          1.07                   64.68                    65.37                               13.44                            0.58
0807-005921-odnxarrm   False            5                56.24                 96.55          0.14                   57.70                    71.99                                1.38                            0.61
0807-045308-umx1b0gi   False            5                56.23                 97.13          0.17                   67.04                    67.66                                2.16                            0.48
